"lon","lat","TEM"
-75.75,35.75,10.7
-75.25,35.75,12
-74.75,35.75,13.8
-74.25,35.75,0
-73.75,35.75,0
-73.25,35.75,0
-91.25,36.25,9.9
-90.75,36.25,10
-90.25,36.25,10
-89.75,36.25,10
-89.25,36.25,9.8
-88.75,36.25,9.5
-88.25,36.25,9.5
-87.75,36.25,9.3
-87.25,36.25,9.2
-86.75,36.25,9.1
-86.25,36.25,9
-85.75,36.25,8.8
-85.25,36.25,8.4
-84.75,36.25,8.2
-84.25,36.25,8.4
-83.75,36.25,8.5
-83.25,36.25,8.1
-82.75,36.25,7.5
-82.25,36.25,6.9
-81.75,36.25,6.4
-81.25,36.25,7.2
-80.75,36.25,7.8
-80.25,36.25,8.3
-79.75,36.25,8.6
-79.25,36.25,8.8
-78.75,36.25,9
-78.25,36.25,9.1
-77.75,36.25,9.2
-77.25,36.25,9.2
-76.75,36.25,9.3
-76.25,36.25,9.4
-75.75,36.25,9.1
-75.25,36.25,10
-74.75,36.25,11.6
-74.25,36.25,0
-73.75,36.25,0
-73.25,36.25,0
-91.25,36.75,8.9
-90.75,36.75,9.2
-90.25,36.75,9.3
-89.75,36.75,9.3
-89.25,36.75,9.2
-88.75,36.75,9
-88.25,36.75,9
-87.75,36.75,8.8
-87.25,36.75,8.7
-86.75,36.75,8.6
-86.25,36.75,8.5
-85.75,36.75,8.4
-85.25,36.75,8.1
-84.75,36.75,7.9
-84.25,36.75,7.7
-83.75,36.75,7.7
-83.25,36.75,7.4
-82.75,36.75,7.1
-82.25,36.75,6.6
-81.75,36.75,5.8
-81.25,36.75,5.7
-80.75,36.75,6.4
-80.25,36.75,7.1
-79.75,36.75,7.7
-79.25,36.75,8.2
-78.75,36.75,8.4
-78.25,36.75,8.5
-77.75,36.75,8.6
-77.25,36.75,8.7
-76.75,36.75,8.8
-76.25,36.75,8.7
-75.75,36.75,8.2
-75.25,36.75,8.7
-74.75,36.75,10
-74.25,36.75,0
-73.75,36.75,0
-73.25,36.75,0
-91.25,37.25,8
-90.75,37.25,8.3
-90.25,37.25,8.5
-89.75,37.25,8.6
-89.25,37.25,8.6
-88.75,37.25,8.4
-88.25,37.25,8.4
-87.75,37.25,8.3
-87.25,37.25,8.3
-86.75,37.25,8.2
-86.25,37.25,8
-85.75,37.25,7.9
-85.25,37.25,7.7
-84.75,37.25,7.5
-84.25,37.25,7.4
-83.75,37.25,7.3
-83.25,37.25,7.1
-82.75,37.25,6.8
-82.25,37.25,6.6
-81.75,37.25,6
-81.25,37.25,5.1
-80.75,37.25,5.4
-80.25,37.25,5.9
-79.75,37.25,6.6
-79.25,37.25,7.3
-78.75,37.25,7.7
-78.25,37.25,7.9
-77.75,37.25,8.1
-77.25,37.25,8.2
-76.75,37.25,8.2
-76.25,37.25,8
-75.75,37.25,7.6
-75.25,37.25,7.8
-74.75,37.25,8.7
-74.25,37.25,0
-73.75,37.25,0
-73.25,37.25,0
-91.25,37.75,7.5
-90.75,37.75,7.6
-90.25,37.75,7.8
-89.75,37.75,8
-89.25,37.75,8
-88.75,37.75,7.9
-88.25,37.75,7.9
-87.75,37.75,7.9
-87.25,37.75,7.8
-86.75,37.75,7.7
-86.25,37.75,7.5
-85.75,37.75,7.4
-85.25,37.75,7.3
-84.75,37.75,7.1
-84.25,37.75,6.9
-83.75,37.75,6.9
-83.25,37.75,7
-82.75,37.75,7
-82.25,37.75,6.9
-81.75,37.75,6.3
-81.25,37.75,5.3
-80.75,37.75,4.6
-80.25,37.75,4.7
-79.75,37.75,5.2
-79.25,37.75,6
-78.75,37.75,6.8
-78.25,37.75,7.3
-77.75,37.75,7.5
-77.25,37.75,7.6
-76.75,37.75,7.6
-76.25,37.75,7.4
-75.75,37.75,7.1
-75.25,37.75,7
-74.75,37.75,7.6
-74.25,37.75,0
-73.75,37.75,0
-73.25,37.75,0
-91.25,38.25,7.4
-90.75,38.25,7.5
-90.25,38.25,7.6
-89.75,38.25,7.6
-89.25,38.25,7.5
-88.75,38.25,7.4
-88.25,38.25,7.5
-87.75,38.25,7.4
-87.25,38.25,7.3
-86.75,38.25,7.2
-86.25,38.25,7
-85.75,38.25,6.9
-85.25,38.25,6.8
-84.75,38.25,6.7
-84.25,38.25,6.5
-83.75,38.25,6.5
-83.25,38.25,6.6
-82.75,38.25,6.8
-82.25,38.25,6.8
-81.75,38.25,6.5
-81.25,38.25,6
-80.75,38.25,4.6
-80.25,38.25,3.8
-79.75,38.25,3.8
-79.25,38.25,4.5
-78.75,38.25,5.6
-78.25,38.25,6.4
-77.75,38.25,6.8
-77.25,38.25,6.9
-76.75,38.25,7
-76.25,38.25,6.9
-75.75,38.25,6.7
-75.25,38.25,6.4
-74.75,38.25,6.6
-74.25,38.25,0
-73.75,38.25,0
-73.25,38.25,0
-91.25,38.75,7
-90.75,38.75,7.1
-90.25,38.75,7.1
-89.75,38.75,7.1
-89.25,38.75,7
-88.75,38.75,6.9
-88.25,38.75,6.9
-87.75,38.75,6.8
