"lon","lat","TEM"
-74.25,35.25,0
-73.75,35.25,0
-73.25,35.25,0
-91.25,35.75,26.7
-90.75,35.75,26.9
-90.25,35.75,27
-89.75,35.75,26.9
-89.25,35.75,26.8
-88.75,35.75,26.5
-88.25,35.75,26.8
-87.75,35.75,26.4
-87.25,35.75,26
-86.75,35.75,25.8
-86.25,35.75,25.5
-85.75,35.75,24.9
-85.25,35.75,24.7
-84.75,35.75,24.8
-84.25,35.75,24.9
-83.75,35.75,23.8
-83.25,35.75,23
-82.75,35.75,22.7
-82.25,35.75,23
-81.75,35.75,23.9
-81.25,35.75,25
-80.75,35.75,25.5
-80.25,35.75,25.7
-79.75,35.75,25.9
-79.25,35.75,26.1
-78.75,35.75,26.1
-78.25,35.75,26.1
-77.75,35.75,26.1
-77.25,35.75,26.2
-76.75,35.75,26.4
-76.25,35.75,26.5
-75.75,35.75,26.5
-75.25,35.75,26.5
-74.75,35.75,26.8
-74.25,35.75,0
-73.75,35.75,0
-73.25,35.75,0
-91.25,36.25,26.3
-90.75,36.25,26.3
-90.25,36.25,26.2
-89.75,36.25,26.3
-89.25,36.25,26.4
-88.75,36.25,26.3
-88.25,36.25,26.5
-87.75,36.25,26.2
-87.25,36.25,25.9
-86.75,36.25,25.6
-86.25,36.25,25.3
-85.75,36.25,24.9
-85.25,36.25,24.3
-84.75,36.25,24.1
-84.25,36.25,24.3
-83.75,36.25,24.5
-83.25,36.25,23.8
-82.75,36.25,23.2
-82.25,36.25,22.5
-81.75,36.25,22.2
-81.25,36.25,23.3
-80.75,36.25,24.2
-80.25,36.25,24.8
-79.75,36.25,25.3
-79.25,36.25,25.7
-78.75,36.25,25.9
-78.25,36.25,26
-77.75,36.25,26.1
-77.25,36.25,26.2
-76.75,36.25,26.3
-76.25,36.25,26.3
-75.75,36.25,26
-75.25,36.25,26
-74.75,36.25,26.2
-74.25,36.25,0
-73.75,36.25,0
-73.25,36.25,0
-91.25,36.75,25.8
-90.75,36.75,25.8
-90.25,36.75,25.9
-89.75,36.75,26
-89.25,36.75,26
-88.75,36.75,25.9
-88.25,36.75,26.1
-87.75,36.75,25.8
-87.25,36.75,25.5
-86.75,36.75,25.3
-86.25,36.75,24.9
-85.75,36.75,24.7
-85.25,36.75,24.3
-84.75,36.75,24
-84.25,36.75,23.9
-83.75,36.75,24
-83.25,36.75,23.5
-82.75,36.75,23.1
-82.25,36.75,22.4
-81.75,36.75,21.7
-81.25,36.75,21.7
-80.75,36.75,22.7
-80.25,36.75,23.7
-79.75,36.75,24.6
-79.25,36.75,25.3
-78.75,36.75,25.6
-78.25,36.75,25.9
-77.75,36.75,26
-77.25,36.75,26.2
-76.75,36.75,26.2
